#site1    site2      values
295       318      0.054
295       319      0.054
296       297      0.054
296       319      0.054
296       320      0.054
297       298      0.054
297       320      0.054
297       321      0.054
298       299      0.054
298       321      0.054
298       322      0.054
299       300      0.054
299       322      0.054
299       323      0.054
300       301      0.054
300       323      0.054
300       324      0.054
301       302      0.054
301       324      0.054
301       325      0.054
302       303      0.054
302       325      0.054
302       326      0.054
303       304      0.054
303       326      0.054
303       327      0.054
304       305      0.054
304       327      0.054
304       328      0.054
305       306      0.054
305       328      0.054
305       329      0.054
306       307      0.054
306       329      0.054
306       330      0.054
307       308      0.054
307       330      0.054
307       331      0.054
308       309      0.054
308       331      0.054
308       332      0.054
309       310      0.054
309       332      0.054
309       333      0.054
310       311      0.054
310       333      0.054
310       334      0.054
311       334      0.054
311       335      0.054
312       313      0.054
312       335      0.054
312       336      0.054
312       359      0.054
313       314      0.054
313       336      0.054
313       337      0.054
314       315      0.054
314       337      0.054
314       338      0.054
315       316      0.054
315       338      0.054
315       339      0.054
316       317      0.054
316       339      0.054
316       340      0.054
317       318      0.054
317       340      0.054
317       341      0.054
318       319      0.054
318       341      0.054
318       342      0.054
319       320      0.054
319       342      0.054
319       343      0.054
320       321      0.054
320       343      0.054
320       344      0.054
321       322      0.054
321       344      0.054
321       345      0.054
322       323      0.054
322       345      0.054
322       346      0.054
323       324      0.054
323       346      0.054
323       347      0.054
324       325      0.054
324       347      0.054
324       348      0.054
325       326      0.054
325       348      0.054
325       349      0.054
326       327      0.054
326       349      0.054
326       350      0.054
327       328      0.054
327       350      0.054
327       351      0.054
328       329      0.054
328       351      0.054
328       352      0.054
329       330      0.054
329       352      0.054
329       353      0.054
330       331      0.054
330       353      0.054
330       354      0.054
331       332      0.054
331       354      0.054
331       355      0.054
332       333      0.054
332       355      0.054
332       356      0.054
333       334      0.054
333       356      0.054
333       357      0.054
334       335      0.054
334       357      0.054
334       358      0.054
335       358      0.054
335       359      0.054
336       337      0.054
336       359      0.054
336       360      0.054
336       383      0.054
337       338      0.054
337       360      0.054
337       361      0.054
338       339      0.054
338       361      0.054
338       362      0.054
339       340      0.054
339       362      0.054
339       363      0.054
340       341      0.054
340       363      0.054
340       364      0.054
341       342      0.054
341       364      0.054
341       365      0.054
342       343      0.054
342       365      0.054
342       366      0.054
343       344      0.054
343       366      0.054
343       367      0.054
344       345      0.054
344       367      0.054
344       368      0.054
345       346      0.054
345       368      0.054
345       369      0.054
346       347      0.054
346       369      0.054
346       370      0.054
347       348      0.054
347       370      0.054
347       371      0.054
348       349      0.054
348       371      0.054
348       372      0.054
349       350      0.054
349       372      0.054
349       373      0.054
350       351      0.054
350       373      0.054
350       374      0.054
351       352      0.054
351       374      0.054
351       375      0.054
352       353      0.054
352       375      0.054
352       376      0.054
353       354      0.054
353       376      0.054
353       377      0.054
354       355      0.054
354       377      0.054
354       378      0.054
355       356      0.054
355       378      0.054
355       379      0.054
356       357      0.054
356       379      0.054
356       380      0.054
357       358      0.054
357       380      0.054
357       381      0.054
358       359      0.054
358       381      0.054
358       382      0.054
359       382      0.054
359       383      0.054
360       361      0.054
360       383      0.054
360       384      0.054
360       407      0.054
361       362      0.054
361       384      0.054
361       385      0.054
362       363      0.054
362       385      0.054
362       386      0.054
363       364      0.054
363       386      0.054
363       387      0.054
364       365      0.054
364       387      0.054
364       388      0.054
365       366      0.054
365       388      0.054
365       389      0.054
366       367      0.054
366       389      0.054
366       390      0.054
367       368      0.054
367       390      0.054
367       391      0.054
368       369      0.054
368       391      0.054
368       392      0.054
369       370      0.054
369       392      0.054
369       393      0.054
370       371      0.054
370       393      0.054
370       394      0.054
371       372      0.054
371       394      0.054
371       395      0.054
372       373      0.054
372       395      0.054
372       396      0.054
373       374      0.054
373       396      0.054
373       397      0.054
374       375      0.054
374       397      0.054
374       398      0.054
375       376      0.054
375       398      0.054
375       399      0.054
376       377      0.054
376       399      0.054
376       400      0.054
377       378      0.054
377       400      0.054
377       401      0.054
378       379      0.054
378       401      0.054
378       402      0.054
379       380      0.054
379       402      0.054
379       403      0.054
380       381      0.054
380       403      0.054
380       404      0.054
381       382      0.054
381       404      0.054
381       405      0.054
382       383      0.054
382       405      0.054
382       406      0.054
383       406      0.054
383       407      0.054
384       385      0.054
384       407      0.054
384       408      0.054
384       431      0.054
385       386      0.054
385       408      0.054
385       409      0.054
386       387      0.054
386       409      0.054
386       410      0.054
387       388      0.054
387       410      0.054
387       411      0.054
388       389      0.054
388       411      0.054
388       412      0.054
389       390      0.054
389       412      0.054
389       413      0.054
390       391      0.054
390       413      0.054
390       414      0.054
391       392      0.054
391       414      0.054
391       415      0.054
392       393      0.054
392       415      0.054
392       416      0.054
393       394      0.054
393       416      0.054
393       417      0.054
394       395      0.054
394       417      0.054
394       418      0.054
395       396      0.054
395       418      0.054
395       419      0.054
396       397      0.054
396       419      0.054
396       420      0.054
397       398      0.054
397       420      0.054
397       421      0.054
398       399      0.054
398       421      0.054
398       422      0.054
399       400      0.054
399       422      0.054
399       423      0.054
400       401      0.054
400       423      0.054
400       424      0.054
401       402      0.054
401       424      0.054
401       425      0.054
402       403      0.054
402       425      0.054
402       426      0.054
403       404      0.054
403       426      0.054
403       427      0.054
404       405      0.054
404       427      0.054
404       428      0.054
405       406      0.054
405       428      0.054
405       429      0.054
406       407      0.054
406       429      0.054
406       430      0.054
407       430      0.054
407       431      0.054
408       409      0.054
408       431      0.054
408       432      0.054
408       455      0.054
409       410      0.054
409       432      0.054
409       433      0.054
410       411      0.054
410       433      0.054
410       434      0.054
411       412      0.054
411       434      0.054
411       435      0.054
412       413      0.054
412       435      0.054
412       436      0.054
413       414      0.054
413       436      0.054
413       437      0.054
414       415      0.054
414       437      0.054
414       438      0.054
415       416      0.054
415       438      0.054
415       439      0.054
416       417      0.054
416       439      0.054
416       440      0.054
417       418      0.054
417       440      0.054
417       441      0.054
418       419      0.054
418       441      0.054
418       442      0.054
419       420      0.054
419       442      0.054
419       443      0.054
420       421      0.054
420       443      0.054
420       444      0.054
421       422      0.054
421       444      0.054
421       445      0.054
422       423      0.054
422       445      0.054
422       446      0.054
423       424      0.054
423       446      0.054
423       447      0.054
424       425      0.054
424       447      0.054
424       448      0.054
425       426      0.054
425       448      0.054
425       449      0.054
426       427      0.054
426       449      0.054
426       450      0.054
427       428      0.054
427       450      0.054
427       451      0.054
428       429      0.054
428       451      0.054
428       452      0.054
429       430      0.054
429       452      0.054
429       453      0.054
430       431      0.054
430       453      0.054
430       454      0.054
431       454      0.054
431       455      0.054
432       433      0.054
432       455      0.054
432       456      0.054
432       479      0.054
433       434      0.054
433       456      0.054
433       457      0.054
434       435      0.054
434       457      0.054
434       458      0.054
435       436      0.054
435       458      0.054
435       459      0.054
436       437      0.054
436       459      0.054
436       460      0.054
437       438      0.054
437       460      0.054
437       461      0.054
438       439      0.054
438       461      0.054
438       462      0.054
439       440      0.054
439       462      0.054
439       463      0.054
440       441      0.054
440       463      0.054
440       464      0.054
441       442      0.054
441       464      0.054
441       465      0.054
442       443      0.054
442       465      0.054
442       466      0.054
443       444      0.054
443       466      0.054
443       467      0.054
444       445      0.054
444       467      0.054
444       468      0.054
445       446      0.054
445       468      0.054
445       469      0.054
446       447      0.054
446       469      0.054
446       470      0.054
447       448      0.054
447       470      0.054
447       471      0.054
448       449      0.054
448       471      0.054
448       472      0.054
449       450      0.054
449       472      0.054
449       473      0.054
450       451      0.054
450       473      0.054
450       474      0.054
451       452      0.054
451       474      0.054
451       475      0.054
452       453      0.054
452       475      0.054
452       476      0.054
453       454      0.054
453       476      0.054
453       477      0.054
454       455      0.054
454       477      0.054
454       478      0.054
455       478      0.054
455       479      0.054
456       457      0.054
456       479      0.054
456       480      0.054
456       503      0.054
457       458      0.054
457       480      0.054
457       481      0.054
458       459      0.054
458       481      0.054
458       482      0.054
459       460      0.054
459       482      0.054
459       483      0.054
460       461      0.054
460       483      0.054
460       484      0.054
461       462      0.054
461       484      0.054
461       485      0.054
462       463      0.054
462       485      0.054
462       486      0.054
463       464      0.054
463       486      0.054
463       487      0.054
464       465      0.054
464       487      0.054
464       488      0.054
465       466      0.054
465       488      0.054
465       489      0.054
466       467      0.054
466       489      0.054
466       490      0.054
467       468      0.054
467       490      0.054
467       491      0.054
468       469      0.054
468       491      0.054
468       492      0.054
469       470      0.054
469       492      0.054
469       493      0.054
470       471      0.054
470       493      0.054
470       494      0.054
471       472      0.054
471       494      0.054
471       495      0.054
472       473      0.054
472       495      0.054
472       496      0.054
473       474      0.054
473       496      0.054
473       497      0.054
474       475      0.054
474       497      0.054
474       498      0.054
475       476      0.054
475       498      0.054
475       499      0.054
476       477      0.054
476       499      0.054
476       500      0.054
477       478      0.054
477       500      0.054
477       501      0.054
478       479      0.054
478       501      0.054
478       502      0.054
479       502      0.054
479       503      0.054
480       481      0.054
480       503      0.054
480       504      0.054
480       527      0.054
481       482      0.054
481       504      0.054
481       505      0.054
482       483      0.054
482       505      0.054
482       506      0.054
483       484      0.054
483       506      0.054
483       507      0.054
484       485      0.054
484       507      0.054
484       508      0.054
485       486      0.054
485       508      0.054
485       509      0.054
486       487      0.054
486       509      0.054
